node_type_id model_type ei model_template morphology pop_name model_processing dynamics_params
100 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_Kv2like.json
101 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_Im_v2.json
102 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit.json
103 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_NaV.json
104 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_Ca_LVA.json
105 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_SK.json
106 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_Ca_HVA.json
107 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_K_T.json
108 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_Ih.json
109 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_Kd.json
110 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i1Htr3a aibs_axon 478107198_fit_Kv3_1.json
111 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_Kv2like.json
112 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_SK.json
113 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_NaV.json
114 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_Kv3_1.json
115 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_Ih.json
116 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_Ca_LVA.json
117 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_K_T.json
118 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit.json
119 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_Ca_HVA.json
120 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_Im_v2.json
121 biophysical i ctdb:Biophys1.hoc Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i23Htr3a aibs_axon 475622793_fit_Kd.json
122 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_Kv2like.json
123 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_Kv3_1.json
124 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit.json
125 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_NaV.json
126 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_Ca_LVA.json
127 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_Kd.json
128 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_SK.json
129 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_Ca_HVA.json
130 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_Im_v2.json
131 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_Ih.json
132 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i23Pvalb aibs_axon 484635029_fit_K_T.json
133 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_NaV.json
134 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_Ca_LVA.json
135 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_Kv2like.json
