node_type_id morphology model_template pop_name ei dynamics_params model_type model_processing
100 Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc ctdb:Biophys1.hoc i1Htr3a i 478107198_fit.json biophysical aibs_perisomatic
101 Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc ctdb:Biophys1.hoc i23Htr3a i 475622793_fit.json biophysical aibs_perisomatic
102 Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc ctdb:Biophys1.hoc i23Pvalb i 484635029_fit.json biophysical aibs_perisomatic
103 Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc ctdb:Biophys1.hoc i23Sst i 473540161_fit.json biophysical aibs_perisomatic
104 Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc ctdb:Biophys1.hoc e4Nr5a1 e 386049446_fit.json biophysical aibs_perisomatic
105 Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc ctdb:Biophys1.hoc e4Rorb e 485836906_fit.json biophysical aibs_perisomatic
106 Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc ctdb:Biophys1.hoc e4Scnn1a e 469798159_fit.json biophysical aibs_perisomatic
107 Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc ctdb:Biophys1.hoc e4other e 483061182_fit.json biophysical aibs_perisomatic
108 Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc ctdb:Biophys1.hoc i4Pvalb i 487667205_fit.json biophysical aibs_perisomatic
109 Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc ctdb:Biophys1.hoc e5Rbp4 e 471129934_fit.json biophysical aibs_perisomatic
110 Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc ctdb:Biophys1.hoc e5noRbp4 e 480351780_fit.json biophysical aibs_perisomatic
111 Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc ctdb:Biophys1.hoc i5Pvalb i 486783119_fit.json biophysical aibs_perisomatic
112 Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc ctdb:Biophys1.hoc i5Sst i 482690728_fit.json biophysical aibs_perisomatic
113 Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc ctdb:Biophys1.hoc e6Ntsr1 e 471819401_fit.json biophysical aibs_perisomatic
114 Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc ctdb:Biophys1.hoc i6Sst i 476754635_fit.json biophysical aibs_perisomatic
