timestamps population node_ids
510.9000000001819 v1 2
6695.200000015691 v1 123
6708.200000015739 v1 123
6721.200000015786 v1 123
6734.200000015833 v1 123
6747.2000000158805 v1 123
6760.200000015928 v1 123
6773.100000015975 v1 123
6786.100000016022 v1 123
6799.100000016069 v1 123
6812.000000016116 v1 123
6825.000000016164 v1 123
6837.9000000162105 v1 123
6682.200000015644 v1 123
6850.900000016258 v1 123
6876.700000016352 v1 123
6889.600000016399 v1 123
6902.5000000164455 v1 123
6915.400000016492 v1 123
6928.300000016539 v1 123
6941.200000016586 v1 123
6954.100000016633 v1 123
6967.00000001668 v1 123
6979.900000016727 v1 123
6992.800000016774 v1 123
6525.600000015074 v1 126
6524.50000001507 v1 127
6863.800000016305 v1 123
6669.100000015596 v1 123
6656.100000015549 v1 123
6643.000000015501 v1 123
6864.700000016308 v1 118
6875.600000016348 v1 118
6886.400000016387 v1 118
6897.200000016426 v1 118
6908.100000016466 v1 118
6918.800000016505 v1 118
6929.600000016544 v1 118
6940.300000016583 v1 118
6950.900000016622 v1 118
6961.6000000166605 v1 118
6972.200000016699 v1 118
6982.800000016738 v1 118
6993.300000016776 v1 118
6543.300000015139 v1 119
6525.500000015074 v1 120
6568.700000015231 v1 121
6510.200000015018 v1 123
6517.700000015046 v1 123
6526.700000015078 v1 123
6538.20000001512 v1 123
6551.200000015168 v1 123
6564.400000015216 v1 123
6577.500000015263 v1 123
6590.700000015311 v1 123
6603.800000015359 v1 123
6616.900000015407 v1 123
6629.900000015454 v1 123
6525.600000015074 v1 128
6853.800000016268 v1 118
6520.900000015057 v1 130
6504.2000000149965 v1 132
6696.700000015697 v1 132
6703.00000001572 v1 132
6709.400000015743 v1 132
6715.700000015766 v1 132
6722.100000015789 v1 132
6728.5000000158125 v1 132
6734.900000015836 v1 132
6741.300000015859 v1 132
6747.800000015883 v1 132
6754.200000015906 v1 132
6760.70000001593 v1 132
6767.100000015953 v1 132
6690.400000015674 v1 132
6773.600000015977 v1 132
6786.700000016024 v1 132
6793.200000016048 v1 132
6799.700000016072 v1 132
6806.300000016096 v1 132
6812.800000016119 v1 132
6819.400000016143 v1 132
6826.000000016167 v1 132
6832.600000016191 v1 132
6839.200000016215 v1 132
6845.800000016239 v1 132
6852.500000016264 v1 132
6859.100000016288 v1 132
6780.100000016 v1 132
6684.000000015651 v1 132
6677.700000015628 v1 132
6671.500000015605 v1 132
6509.7000000150165 v1 132
6515.000000015036 v1 132
6520.300000015055 v1 132
6525.700000015075 v1 132
6531.300000015095 v1 132
6537.100000015116 v1 132
6542.900000015137 v1 132
6548.800000015159 v1 132
6554.800000015181 v1 132
6560.800000015202 v1 132
6566.800000015224 v1 132
6572.800000015246 v1 132
6578.900000015268 v1 132
6585.00000001529 v1 132
6591.000000015312 v1 132
6597.100000015334 v1 132
6603.300000015357 v1 132
6609.400000015379 v1 132
6615.500000015401 v1 132
6621.700000015424 v1 132
6627.900000015447 v1 132
6634.100000015469 v1 132
6640.300000015492 v1 132
6646.500000015514 v1 132
6652.700000015537 v1 132
6658.900000015559 v1 132
6665.200000015582 v1 132
6521.100000015058 v1 131
6842.800000016228 v1 118
6831.900000016189 v1 118
6820.900000016149 v1 118
6612.30000001539 v1 92
6620.50000001542 v1 92
6628.700000015449 v1 92
6636.900000015479 v1 92
6645.100000015509 v1 92
6653.300000015539 v1 92
6661.500000015569 v1 92
6669.700000015599 v1 92
6677.900000015628 v1 92
6686.100000015658 v1 92
6694.300000015688 v1 92
6702.500000015718 v1 92
6604.10000001536 v1 92
6710.700000015748 v1 92
6727.100000015807 v1 92
6735.300000015837 v1 92
6743.500000015867 v1 92
6751.800000015897 v1 92
6760.000000015927 v1 92
6768.200000015957 v1 92
6776.400000015987 v1 92
6784.600000016017 v1 92
6792.800000016046 v1 92
6801.000000016076 v1 92
6809.200000016106 v1 92
6817.400000016136 v1 92
6718.900000015778 v1 92
6595.90000001533 v1 92
6587.7000000153 v1 92
6579.50000001527 v1 92
6755.700000015911 v1 80
6791.700000016042 v1 80
6827.300000016172 v1 80
6862.4000000163 v1 80
6897.200000016426 v1 80
6931.500000016551 v1 80
6965.500000016675 v1 80
6999.200000016797 v1 80
6503.300000014993 v1 81
6503.1000000149925 v1 82
6503.000000014992 v1 83
6503.1000000149925 v1 84
6503.1000000149925 v1 85
6503.1000000149925 v1 86
6515.700000015038 v1 87
6512.800000015028 v1 88
6508.800000015013 v1 89
6548.800000015159 v1 91
6509.000000015014 v1 92
6516.3000000150405 v1 92
6523.600000015067 v1 92
6531.300000015095 v1 92
6539.100000015123 v1 92
6547.100000015153 v1 92
6555.100000015182 v1 92
6563.200000015211 v1 92
6571.400000015241 v1 92
6825.600000016166 v1 92
6833.800000016196 v1 92
6842.000000016225 v1 92
6850.200000016255 v1 92
6516.000000015039 v1 118
6526.100000015076 v1 118
6537.2000000151165 v1 118
6548.600000015158 v1 118
6560.2000000152 v1 118
6571.800000015242 v1 118
6583.500000015285 v1 118
6595.100000015327 v1 118
6606.600000015369 v1 118
6618.200000015411 v1 118
6629.700000015453 v1 118
6641.200000015495 v1 118
6652.600000015536 v1 118
6664.100000015578 v1 118
6675.50000001562 v1 118
6686.800000015661 v1 118
6698.200000015702 v1 118
6709.500000015743 v1 118
6720.8000000157845 v1 118
6732.000000015825 v1 118
6743.200000015866 v1 118
6754.400000015907 v1 118
6765.500000015947 v1 118
6776.700000015988 v1 118
6787.800000016028 v1 118
6798.900000016069 v1 118
6809.900000016109 v1 118
6506.900000015006 v1 118
6865.800000016312 v1 132
6526.600000015078 v1 117
6500.400000014983 v1 115
6858.400000016285 v1 92
6866.600000016315 v1 92
6874.900000016345 v1 92
6883.100000016375 v1 92
6891.300000016405 v1 92
6899.500000016435 v1 92
6907.700000016464 v1 92
6915.900000016494 v1 92
6924.100000016524 v1 92
6932.300000016554 v1 92
6940.500000016584 v1 92
6948.700000016614 v1 92
6956.900000016643 v1 92
6965.100000016673 v1 92
6973.300000016703 v1 92
6981.500000016733 v1 92
6989.800000016763 v1 92
6998.000000016793 v1 92
6508.800000015013 v1 93
6508.500000015012 v1 95
6508.800000015013 v1 96
6508.100000015011 v1 97
6508.800000015013 v1 98
6537.000000015116 v1 105
6524.0000000150685 v1 110
6525.900000015075 v1 111
6528.900000015086 v1 114
6528.800000015086 v1 116
6872.400000016336 v1 132
6879.10000001636 v1 132
6885.800000016385 v1 132
7193.6000000175045 v1 48
7204.400000017544 v1 48
7215.200000017583 v1 48
7225.900000017622 v1 48
7236.700000017661 v1 48
7247.4000000177 v1 48
7258.2000000177395 v1 48
7269.000000017779 v1 48
7279.800000017818 v1 48
7290.500000017857 v1 48
7301.300000017896 v1 48
7312.100000017936 v1 48
7182.900000017466 v1 48
7322.900000017975 v1 48
7344.500000018053 v1 48
7355.300000018093 v1 48
7366.100000018132 v1 48
7376.900000018171 v1 48
7387.700000018211 v1 48
7398.50000001825 v1 48
7409.300000018289 v1 48
7420.100000018328 v1 48
7430.900000018368 v1 48
7441.700000018407 v1 48
7452.500000018446 v1 48
7463.300000018486 v1 48
7333.700000018014 v1 48
7172.100000017426 v1 48
7161.400000017387 v1 48
7150.600000017348 v1 48
7421.500000018334 v1 40
7428.000000018357 v1 40
7434.500000018381 v1 40
7441.100000018405 v1 40
7447.600000018429 v1 40
7454.100000018452 v1 40
7460.600000018476 v1 40
7467.1000000184995 v1 40
7473.600000018523 v1 40
7480.100000018547 v1 40
7486.60000001857 v1 40
7493.100000018594 v1 40
7499.600000018618 v1 40
7000.100000016801 v1 48
7010.90000001684 v1 48
7021.600000016879 v1 48
7032.400000016918 v1 48
7043.100000016957 v1 48
7053.900000016996 v1 48
7064.600000017035 v1 48
7075.4000000170745 v1 48
7086.100000017113 v1 48
7096.900000017153 v1 48
7107.600000017192 v1 48
7118.400000017231 v1 48
7129.10000001727 v1 48
7139.900000017309 v1 48
7474.100000018525 v1 48
7484.900000018564 v1 48
7495.7000000186035 v1 48
7070.700000017057 v1 59
7392.300000018227 v1 74
7406.100000018278 v1 74
7419.900000018328 v1 74
7433.600000018378 v1 74
7447.400000018428 v1 74
7461.100000018478 v1 74
7474.900000018528 v1 74
7488.600000018578 v1 74
7032.600000016919 v1 80
7065.700000017039 v1 80
7098.500000017159 v1 80
7131.100000017277 v1 80
7163.400000017395 v1 80
7195.600000017512 v1 80
7227.500000017628 v1 80
7259.300000017743 v1 80
7290.900000017858 v1 80
7322.300000017973 v1 80
7353.600000018087 v1 80
7384.8000000182 v1 80
7415.800000018313 v1 80
7446.700000018425 v1 80
7477.500000018537 v1 80
7461.600000018479 v1 81
7006.200000016823 v1 92
7014.400000016853 v1 92
7022.600000016882 v1 92
7378.500000018177 v1 74
7415.00000001831 v1 40
7364.700000018127 v1 74
7337.100000018027 v1 74
7195.00000001751 v1 59
7317.400000017955 v1 59
7438.100000018394 v1 59
7001.700000016806 v1 74
7015.900000016858 v1 74
7030.000000016909 v1 74
7044.100000016961 v1 74
7058.200000017012 v1 74
7072.300000017063 v1 74
7086.4000000171145 v1 74
7100.500000017166 v1 74
7114.500000017217 v1 74
7128.500000017268 v1 74
7142.500000017319 v1 74
7156.5000000173695 v1 74
7170.5000000174205 v1 74
7184.400000017471 v1 74
7198.400000017522 v1 74
7212.300000017572 v1 74
7226.200000017623 v1 74
7240.100000017674 v1 74
7254.000000017724 v1 74
7267.900000017775 v1 74
7281.800000017825 v1 74
7295.600000017876 v1 74
7309.500000017926 v1 74
7323.300000017976 v1 74
7350.900000018077 v1 74
6719.100000015778 v1 80
7408.500000018286 v1 40
7395.400000018239 v1 40
6507.5000000150085 v1 158
6508.300000015011 v1 159
7014.100000016852 v1 18
7102.900000017175 v1 18
7190.100000017492 v1 18
7276.200000017805 v1 18
7361.300000018115 v1 18
7445.800000018422 v1 18
7022.400000016882 v1 24
7048.600000016977 v1 24
7074.700000017072 v1 24
7100.900000017167 v1 24
6502.50000001499 v1 158
7127.000000017262 v1 24
7179.3000000174525 v1 24
7205.400000017547 v1 24
7231.600000017643 v1 24
7257.700000017738 v1 24
7283.900000017833 v1 24
7310.000000017928 v1 24
7336.100000018023 v1 24
7362.300000018118 v1 24
7388.400000018213 v1 24
7414.500000018308 v1 24
7440.700000018403 v1 24
7466.800000018498 v1 24
7153.2000000173575 v1 24
6521.8000000150605 v1 154
6985.900000016749 v1 147
6902.600000016446 v1 147
6892.500000016409 v1 132
6899.2000000164335 v1 132
6905.900000016458 v1 132
6912.700000016483 v1 132
6919.400000016507 v1 132
6926.200000016532 v1 132
6932.900000016556 v1 132
6939.700000016581 v1 132
6946.500000016606 v1 132
6953.20000001663 v1 132
6960.000000016655 v1 132
6966.800000016679 v1 132
6973.7000000167045 v1 132
6980.500000016729 v1 132
6987.300000016754 v1 132
6994.100000016779 v1 132
6556.100000015185 v1 146
6516.700000015042 v1 147
6534.300000015106 v1 147
6554.70000001518 v1 147
6576.300000015259 v1 147
6599.700000015344 v1 147
6626.10000001544 v1 147
6657.200000015553 v1 147
6696.300000015695 v1 147
6748.900000015887 v1 147
6820.100000016146 v1 147
7492.900000018593 v1 24
7222.50000001761 v1 35
7002.60000001681 v1 40
7009.200000016834 v1 40
7219.100000017597 v1 40
7225.700000017621 v1 40
7232.200000017645 v1 40
7238.800000017669 v1 40
7245.300000017693 v1 40
7251.800000017716 v1 40
7258.40000001774 v1 40
7264.900000017764 v1 40
7271.4000000177875 v1 40
7278.0000000178115 v1 40
7284.500000017835 v1 40
7291.000000017859 v1 40
7297.600000017883 v1 40
7304.100000017906 v1 40
7310.60000001793 v1 40
7317.200000017954 v1 40
7323.700000017978 v1 40
7330.200000018001 v1 40
7336.700000018025 v1 40
7343.300000018049 v1 40
7349.800000018073 v1 40
7356.300000018096 v1 40
7362.80000001812 v1 40
7369.400000018144 v1 40
7375.900000018168 v1 40
7382.400000018191 v1 40
7388.900000018215 v1 40
7212.600000017574 v1 40
7402.000000018263 v1 40
7206.00000001755 v1 40
7193.000000017502 v1 40
7015.800000016858 v1 40
7022.300000016881 v1 40
7028.900000016905 v1 40
7035.500000016929 v1 40
7042.100000016953 v1 40
7048.600000016977 v1 40
7055.200000017001 v1 40
7061.800000017025 v1 40
7068.400000017049 v1 40
7074.900000017073 v1 40
7081.500000017097 v1 40
7088.100000017121 v1 40
7094.600000017144 v1 40
7101.200000017168 v1 40
7107.800000017192 v1 40
7114.300000017216 v1 40
7120.90000001724 v1 40
7127.400000017264 v1 40
7134.000000017288 v1 40
7140.500000017311 v1 40
7147.100000017335 v1 40
7153.700000017359 v1 40
7160.200000017383 v1 40
7166.800000017407 v1 40
7173.300000017431 v1 40
7179.900000017455 v1 40
7186.400000017478 v1 40
7199.500000017526 v1 40
7030.800000016912 v1 92
6682.100000015644 v1 80
6609.800000015381 v1 80
5248.500000010428 v1 118
5261.600000010476 v1 118
5274.700000010524 v1 118
5287.800000010571 v1 118
5300.900000010619 v1 118
5314.000000010667 v1 118
5327.100000010714 v1 118
5340.200000010762 v1 118
5353.3000000108095 v1 118
5366.400000010857 v1 118
5379.500000010905 v1 118
5392.6000000109525 v1 118
5235.400000010381 v1 118
5405.700000011 v1 118
5431.900000011096 v1 118
5445.000000011143 v1 118
5458.100000011191 v1 118
5471.200000011238 v1 118
5484.300000011286 v1 118
5497.400000011334 v1 118
5013.100000009572 v1 123
5032.900000009644 v1 123
5052.800000009716 v1 123
5072.700000009789 v1 123
5092.600000009861 v1 123
5112.5000000099335 v1 123
5418.800000011048 v1 118
5222.200000010333 v1 118
5209.100000010285 v1 118
5196.000000010237 v1 118
5356.500000010821 v1 92
5367.600000010862 v1 92
5378.700000010902 v1 92
5389.800000010942 v1 92
5400.900000010983 v1 92
5412.000000011023 v1 92
5423.100000011064 v1 92
5434.200000011104 v1 92
5445.300000011144 v1 92
5456.400000011185 v1 92
5467.500000011225 v1 92
5478.600000011265 v1 92
5489.700000011306 v1 92
5011.400000009566 v1 118
5024.600000009614 v1 118
5037.800000009662 v1 118
5051.00000000971 v1 118
5064.200000009758 v1 118
5077.400000009806 v1 118
5090.600000009854 v1 118
5103.800000009902 v1 118
5117.00000000995 v1 118
5130.1000000099975 v1 118
5143.300000010046 v1 118
5156.500000010094 v1 118
5169.700000010142 v1 118
5182.800000010189 v1 118
5132.400000010006 v1 123
5345.400000010781 v1 92
5152.300000010078 v1 123
5192.000000010223 v1 123
5145.600000010054 v1 132
5154.500000010086 v1 132
5163.300000010118 v1 132
5172.200000010151 v1 132
5181.100000010183 v1 132
5190.000000010215 v1 132
5198.900000010248 v1 132
5207.80000001028 v1 132
5216.700000010313 v1 132
5225.600000010345 v1 132
5234.500000010377 v1 132
5243.300000010409 v1 132
5136.7000000100215 v1 132
5252.200000010442 v1 132
5270.0000000105065 v1 132
5278.900000010539 v1 132
5287.800000010571 v1 132
5296.700000010604 v1 132
5305.600000010636 v1 132
5314.500000010668 v1 132
5323.400000010701 v1 132
5332.200000010733 v1 132
5341.100000010765 v1 132
5350.0000000107975 v1 132
5358.90000001083 v1 132
5367.800000010862 v1 132
5261.100000010474 v1 132
5127.800000009989 v1 132
5118.900000009957 v1 132
5110.000000009924 v1 132
5211.900000010295 v1 123
5231.800000010368 v1 123
5251.70000001044 v1 123
5271.500000010512 v1 123
5291.400000010584 v1 123
5311.300000010657 v1 123
5331.100000010729 v1 123
5351.000000010801 v1 123
5370.900000010874 v1 123
5390.700000010946 v1 123
5410.600000011018 v1 123
5430.50000001109 v1 123
5450.300000011162 v1 123
5470.200000011235 v1 123
5490.000000011307 v1 123
5003.300000009536 v1 132
5012.200000009569 v1 132
5021.100000009601 v1 132
5030.000000009633 v1 132
5038.900000009666 v1 132
5047.800000009698 v1 132
5056.7000000097305 v1 132
5065.600000009763 v1 132
5074.500000009795 v1 132
5083.300000009827 v1 132
5092.20000000986 v1 132
5101.100000009892 v1 132
5172.10000001015 v1 123
5334.30000001074 v1 92
